"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",40833.41,296.00,294.19,0.30%,-21.62%,90.70%,-3.26%,1.27%,2.61,1431.21,138.03,-0.04%,1158389
2,"AAL",9067.55,650.95,642.23,0.10%,-14.05%,55.50%,1.47%,9.12%,2.42,24148.92,14.01,0.86%,14041168
3,"AAP",7125.54,59.44,58.78,0.20%,0.00%,98.16%,-3.53%,5.90%,2.55,1359.83,120.69,0.40%,1029565
4,"AAPL",2591002.55,15892.72,15810.14,0.07%,-5.29%,60.10%,-0.47%,0.68%,1.61,66838.40,164.66,0.55%,45337673
5,"ABBV",283673.73,1771.00,1761.50,0.13%,-12.36%,70.90%,0.10%,0.80%,2.21,6366.93,161.55,0.47%,5498027
6,"ABC",33850.56,204.03,162.29,0.20%,-97.94%,72.40%,0.01%,2.10%,2.64,1289.90,166.35,-0.60%,857766
7,"ABT",181111.28,1743.37,1730.77,0.40%,-1.14%,76.20%,0.27%,0.74%,2.43,5289.12,104.93,0.69%,5065004
8,"ACGL",25551.23,365.87,358.48,0.90%,-3.48%,90.70%,-0.11%,1.85%,3.11,2127.67,68.94,0.51%,1979161
9,"ACN",186409.35,662.60,661.59,0.10%,-12.30%,75.40%,1.16%,0.86%,2.34,2423.09,281.70,0.13%,2125316
10,"ADBE",175232.05,459.00,457.38,0.32%,-3.58%,84.10%,-0.71%,1.06%,1.58,3068.33,380.60,-0.37%,1835767
11,"ADI",96298.96,507.12,504.56,0.37%,-5.19%,89.30%,0.21%,1.10%,1.60,3460.52,187.17,-1.68%,3008992
12,"ADM",43392.83,553.00,542.29,0.20%,-26.86%,81.80%,-1.04%,1.16%,1.92,3292.93,78.74,-0.84%,2413897
13,"ADP",88326.32,414.30,410.16,0.10%,-30.26%,81.90%,0.81%,1.05%,2.02,2135.28,216.11,1.38%,1966560
14,"ADSK",42430.07,214.78,214.11,0.10%,-6.55%,95.00%,2.05%,1.11%,1.66,1436.88,197.34,-0.11%,1174474
15,"AEE",23430.81,259.00,257.49,0.20%,-20.97%,80.00%,-1.66%,1.79%,3.21,1436.83,90.07,0.90%,1543764
16,"AEP",48580.83,513.88,513.70,0.03%,-30.15%,75.70%,0.34%,1.26%,2.15,3004.81,94.89,0.37%,2991524
17,"AES",16123.52,669.03,666.36,0.38%,-22.92%,97.40%,0.34%,1.50%,2.29,4372.13,24.40,1.24%,4738909
18,"AFL",39430.66,619.68,563.18,0.10%,-15.68%,60.60%,-0.89%,1.56%,3.26,2698.71,64.56,0.16%,2355670
19,"AIG",36859.33,744.82,726.30,0.32%,0.00%,92.00%,-3.13%,1.00%,1.33,5453.41,51.08,1.67%,3438365
20,"AIZ",6285.69,53.41,52.33,0.20%,-0.49%,99.00%,-6.36%,2.07%,2.45,441.31,118.33,-0.37%,420111
21,"AJG",41804.94,211.20,208.85,0.30%,-11.32%,87.20%,1.93%,0.95%,2.17,913.98,197.37,1.07%,895013
22,"AKAM",12099.22,157.11,154.56,0.10%,-18.79%,95.40%,-1.95%,7.15%,6.45,1712.44,78.92,1.95%,1079248
23,"ALB",23073.47,117.16,116.97,0.10%,-16.72%,85.80%,1.70%,4.68%,3.16,1732.59,194.68,-1.03%,2013870
24,"ALGN",24287.20,77.54,73.17,0.30%,7.98%,89.30%,-1.40%,3.65%,2.55,1044.46,323.14,1.93%,612973
25,"ALK",5347.07,127.31,126.36,0.20%,-1.96%,79.90%,2.38%,3.06%,2.46,1570.86,42.04,0.21%,1674085
26,"ALL",30251.01,264.30,261.64,0.66%,-4.89%,81.50%,1.16%,1.45%,1.93,1968.57,115.22,0.30%,1414450
27,"ALLE",8715.51,88.00,87.40,0.10%,14.60%,97.60%,1.71%,1.77%,1.98,781.77,99.64,0.45%,836839
28,"AMAT",99149.18,845.00,834.77,0.35%,-1.19%,79.90%,0.73%,1.81%,2.30,6584.22,114.45,-2.45%,6265919
29,"AMCR",16804.24,1475.00,1474.71,0.20%,-26.77%,48.50%,-0.80%,1.90%,3.42,8176.06,11.25,-0.53%,9398339
30,"AMD",148966.40,1618.00,1604.72,0.50%,-2.37%,70.70%,3.26%,2.18%,0.56,62742.18,92.47,-0.10%,47732587
31,"AME",31242.75,229.75,228.54,0.30%,-29.56%,89.00%,0.85%,0.88%,1.94,1032.76,135.25,-0.31%,1175833
32,"AMGN",135293.15,535.00,532.73,0.21%,-0.08%,79.10%,-1.48%,1.43%,3.00,2538.04,253.32,-0.02%,2047732
33,"AMP",31385.10,108.90,105.02,0.20%,-35.28%,85.20%,-1.41%,0.75%,1.25,632.36,297.32,-0.39%,430825
34,"AMT",95313.03,465.65,464.37,0.10%,-11.86%,93.20%,-0.40%,0.70%,1.52,2124.08,206.69,0.98%,1273327
35,"AMZN",1035997.77,10222.00,9245.75,9.80%,-0.02%,60.10%,0.61%,0.61%,0.84,67079.28,102.06,0.95%,43751813
36,"ANET",49900.38,306.16,234.13,0.10%,-63.92%,67.90%,1.40%,1.41%,1.29,2554.59,159.85,-1.85%,2677310
37,"ANSS",28066.05,87.02,86.78,0.10%,-17.29%,96.30%,-0.36%,1.10%,1.87,510.35,322.08,-0.38%,421756
38,"AON",65965.50,207.20,189.53,0.10%,-26.38%,89.60%,-1.51%,0.93%,2.04,860.50,322.05,0.15%,465826
39,"AOS",9750.72,152.27,125.97,0.81%,-4.56%,98.63%,0.59%,4.34%,4.59,1190.45,64.60,-0.02%,1159084
40,"APA",11813.12,311.00,308.44,0.44%,0.00%,82.40%,-3.49%,3.85%,1.92,6193.82,38.07,0.21%,5084680
41,"APD",63043.92,222.20,220.96,0.30%,-0.07%,85.40%,1.11%,0.95%,1.84,1145.76,282.00,-0.66%,869163
42,"APH",46408.53,595.00,591.63,0.58%,-24.50%,96.80%,0.04%,0.88%,2.10,2470.27,77.64,-0.53%,1816175
43,"APTV",28324.32,270.96,269.86,0.20%,-13.66%,98.70%,1.64%,1.64%,2.41,1830.36,103.02,-1.42%,1648412
44,"ARE",21403.79,165.44,162.65,0.90%,-3.91%,95.74%,-1.10%,1.41%,2.07,1109.09,124.39,0.59%,603738
45,"ATO",16592.78,141.82,139.25,0.30%,-3.06%,93.70%,1.78%,4.29%,7.33,814.28,115.42,0.51%,811933
46,"ATVI",66961.62,785.00,775.89,0.10%,-1.11%,83.10%,1.11%,1.87%,2.16,6698.86,85.22,-0.19%,6616563
47,"AVB",23270.77,139.71,139.45,0.34%,0.00%,93.80%,-0.50%,1.66%,2.61,885.74,168.19,1.12%,544582
48,"AVGO",262249.75,418.00,414.94,0.10%,-9.22%,80.70%,3.31%,1.37%,2.49,2285.56,622.64,-1.01%,1448972
49,"AVY",14338.85,81.00,80.45,0.69%,-1.31%,92.80%,-4.63%,1.94%,3.10,502.27,176.87,0.05%,497484
50,"AWK",29236.90,182.00,180.95,0.19%,0.00%,89.00%,0.87%,1.95%,2.87,1229.45,151.88,1.11%,1059255
51,"AXP",119854.71,748.00,741.74,0.14%,-10.26%,86.40%,-0.47%,0.83%,1.67,3670.57,158.83,-1.40%,3753965
52,"AZO",45881.23,18.70,18.39,0.10%,-82.78%,96.60%,-3.02%,1.48%,1.75,155.63,2530.68,1.45%,142670
53,"BA",125826.44,597.60,595.36,0.10%,4.62%,58.20%,1.09%,1.44%,1.39,6172.28,211.37,0.65%,5612186
54,"BAC",221100.27,8088.20,7983.18,0.11%,-3.47%,71.00%,0.33%,1.18%,1.65,56966.67,27.84,0.72%,40992246
55,"BALL",16719.50,313.84,311.88,0.50%,-5.45%,86.90%,-5.78%,5.43%,9.57,1767.54,52.63,-1.03%,1931143
56,"BAX",21363.19,507.00,503.13,0.24%,-5.17%,89.50%,0.71%,1.26%,0.94,6775.33,42.30,0.09%,4393702
57,"BBWI",8162.31,229.00,222.32,0.20%,-0.35%,96.60%,-4.08%,5.26%,3.86,3034.41,35.53,-0.42%,2805674
58,"BBY",16632.47,221.50,200.83,0.20%,-49.72%,83.00%,-3.35%,6.06%,5.07,2403.94,75.08,-1.57%,1791253
59,"BDX",71318.29,283.89,281.58,0.10%,-0.50%,90.90%,-1.96%,0.70%,1.81,1090.43,254.69,1.20%,1369835
60,"BEN",13314.63,489.60,283.20,18.70%,-0.03%,47.90%,1.24%,6.90%,4.86,4020.58,26.60,-0.04%,2673922
61,"BF-B",30328.07,479.15,470.80,1.75%,-0.01%,50.30%,0.34%,0.82%,2.94,1303.77,62.66,-0.43%,1774607
62,"BG",13830.17,149.88,129.65,0.40%,-0.17%,87.80%,-1.27%,1.92%,1.30,1914.36,92.46,0.24%,1528413
63,"BIIB",41032.47,143.80,143.01,0.10%,-7.62%,88.60%,0.84%,1.38%,2.02,977.30,286.80,0.99%,737066
64,"BIO",13726.11,29.68,21.32,3.30%,-0.22%,80.50%,1.30%,1.70%,2.18,166.30,466.24,0.53%,95581
65,"BK",35889.42,812.16,797.48,0.10%,-4.41%,85.50%,-0.02%,0.76%,1.02,5952.19,44.85,-0.07%,3207341
66,"BKNG",98470.53,38.51,37.48,0.20%,-15.25%,94.10%,-2.39%,1.63%,1.86,327.57,2583.85,-1.21%,272674
67,"BKR",29384.69,1011.87,1010.22,0.15%,-18.44%,98.46%,0.60%,1.63%,2.44,6746.75,28.51,-1.83%,4583140
68,"BLK",98558.46,150.09,148.63,0.60%,-7.86%,80.50%,1.01%,1.78%,3.66,723.99,656.40,0.05%,441511
69,"BMY",146852.70,2109.00,2097.31,0.07%,-17.53%,79.40%,-0.72%,0.99%,2.55,8149.52,70.74,1.32%,9668409
70,"BR",16581.12,117.70,116.87,0.60%,-5.86%,90.40%,0.24%,2.26%,4.64,570.19,141.20,0.23%,784934
71,"BRK-B",687834.14,1298.19,1293.31,0.37%,-0.13%,66.08%,,0.50%,1.67,3866.96,312.51,0.68%,3130855
72,"BRO",16727.75,278.10,235.82,0.10%,3.06%,75.10%,-0.94%,1.37%,2.79,1157.04,59.14,0.51%,799120
73,"BSX",72930.00,1432.90,1429.21,0.20%,-14.79%,94.60%,0.93%,1.00%,1.81,7898.16,50.08,-1.30%,9622857
74,"BWA",10847.59,233.79,232.61,0.10%,-59.04%,97.30%,-1.21%,2.27%,2.55,2075.48,46.06,-0.73%,2041154
75,"BXP",8237.93,156.78,156.46,0.10%,6.89%,99.80%,-3.07%,3.99%,3.56,1755.83,53.10,1.09%,1351938
76,"C",89089.93,1936.80,1932.75,0.20%,-0.71%,73.70%,-0.03%,2.34%,2.24,20235.60,45.86,0.20%,11913182
77,"CAG",18240.48,477.50,474.27,0.30%,-6.64%,84.10%,-2.37%,3.22%,3.39,4511.63,38.38,0.29%,4634284
78,"CAH",20461.94,261.00,256.52,0.60%,-4.92%,93.00%,0.12%,1.61%,1.61,2566.62,79.23,-0.24%,1855285
79,"CARR",35151.29,835.30,826.32,0.10%,-30.85%,87.90%,-0.26%,1.52%,2.76,4554.84,41.80,-0.71%,4861873
80,"CAT",110255.60,517.30,511.18,0.15%,-11.54%,70.90%,-1.81%,1.46%,2.18,3408.82,209.17,-2.04%,4177227
81,"CB",81168.19,415.25,413.20,0.30%,-8.54%,90.50%,-0.56%,0.42%,0.92,1886.27,196.80,0.41%,1248211
82,"CBOE",14313.39,106.00,105.38,0.20%,-10.16%,84.00%,-3.05%,1.27%,1.91,701.04,136.02,0.29%,538257
83,"CBRE",21717.35,314.14,307.01,0.10%,-1.59%,99.20%,-1.98%,1.91%,3.54,1651.30,70.31,0.33%,1432389
84,"CCI",57990.13,433.00,430.78,0.35%,0.21%,93.10%,0.38%,0.78%,1.67,2010.89,134.42,0.52%,1149578
85,"CCL",12053.72,1260.00,1025.75,0.10%,-7.96%,50.90%,9.39%,12.81%,3.23,40723.19,9.73,0.72%,28029305
86,"CDAY",10586.65,153.69,152.11,0.30%,-23.45%,,-3.24%,6.16%,7.82,1198.45,69.23,-0.14%,672274
87,"CDNS",56707.02,273.21,270.60,0.60%,-24.85%,90.20%,0.95%,1.65%,2.54,1754.86,208.52,0.46%,1885651
88,"CDW",25487.70,135.50,134.86,0.10%,-3.31%,97.20%,1.34%,1.29%,2.09,830.77,185.50,-1.31%,545168
89,"CE",11838.25,108.51,108.11,0.20%,0.54%,96.60%,-0.50%,2.64%,2.52,1136.47,106.03,-0.74%,690027
90,"CEG",25056.64,327.00,326.25,0.10%,0.00%,83.30%,-0.00%,1.92%,2.94,2135.84,76.96,0.60%,1222992
91,"CF",14337.73,196.40,195.35,0.20%,0.00%,97.00%,-2.35%,2.68%,1.81,2883.38,71.46,-2.32%,2295786
92,"CFG",13860.87,493.49,482.52,0.30%,-10.72%,92.10%,-0.02%,2.14%,1.64,6314.48,29.07,1.57%,5573715
93,"CHD",21894.09,246.00,243.43,0.18%,-15.86%,84.70%,-0.89%,1.83%,3.25,1371.38,90.61,1.00%,1264739
94,"CHRW",10854.44,118.76,115.10,0.30%,-2.16%,99.53%,-0.27%,12.35%,9.73,1460.64,92.67,-0.55%,867956
95,"CHTR",59717.53,153.44,115.59,12.30%,-0.00%,67.80%,-3.37%,8.07%,8.20,1138.23,350.27,-0.81%,765105
96,"CI",78974.18,300.88,293.81,0.10%,-16.87%,91.60%,-1.52%,0.94%,1.55,1793.59,265.29,-0.22%,1708914
97,"CINF",17491.10,157.30,156.19,0.50%,0.13%,68.00%,2.21%,2.20%,4.35,791.37,111.85,0.51%,575769
98,"CL",62709.96,832.50,829.55,0.10%,-3.74%,81.30%,-0.60%,1.19%,2.19,4515.85,75.68,0.42%,3261800
99,"CLX",19445.50,123.55,122.88,0.10%,0.00%,82.20%,-1.41%,4.60%,4.61,1225.31,157.76,0.22%,679491
100,"CMA",5249.99,131.00,130.17,0.40%,-2.54%,84.90%,1.09%,4.21%,1.60,3416.45,41.28,3.41%,2920259
101,"CMCSA",159873.06,4277.00,4164.55,0.74%,-0.01%,85.60%,-1.83%,1.14%,2.45,19334.68,37.69,-0.61%,20358467
102,"CME",70218.44,358.89,358.12,0.20%,7.83%,88.20%,0.50%,1.16%,2.16,1912.92,195.10,-0.05%,1370085
103,"CMG",46882.54,27.68,27.55,0.50%,-8.74%,96.30%,-0.61%,2.95%,2.87,283.63,1685.21,-0.72%,217657
104,"CMI",31187.71,141.50,140.44,0.20%,-38.90%,85.40%,1.13%,2.15%,2.85,1062.17,220.33,-0.01%,861183
105,"CMS",18117.26,289.50,288.35,0.45%,-1.12%,94.00%,-1.61%,2.59%,3.87,1928.03,62.31,0.31%,1855847
106,"CNC",36230.45,559.93,545.25,0.50%,1.88%,98.40%,-1.27%,1.22%,1.70,3929.38,66.02,0.35%,3807035
107,"CNP",19139.25,629.00,628.70,0.20%,0.65%,93.10%,1.42%,1.45%,2.33,3926.89,30.77,1.25%,4792126
108,"COF",36270.85,382.50,377.50,1.00%,-3.91%,91.00%,-0.04%,1.70%,1.84,3499.59,94.93,0.09%,2045018
109,"COO",18477.25,49.40,49.08,0.56%,-13.07%,,-4.05%,2.71%,4.30,309.22,372.30,-0.35%,286356
110,"COP",130579.73,1238.89,1210.06,0.10%,-0.50%,83.40%,-0.14%,1.09%,1.92,6891.58,106.26,-1.38%,5086616
111,"COST",220469.69,443.88,441.63,0.20%,-1.69%,69.10%,0.26%,0.80%,1.80,1950.19,485.98,-2.24%,4112354
112,"CPB",16638.78,299.00,192.10,0.30%,-8.48%,52.90%,-0.21%,7.18%,5.71,2415.74,55.47,-0.16%,1532885
113,"CPRT",35591.57,476.38,427.93,9.50%,-0.07%,82.60%,-0.09%,0.81%,1.77,1964.18,74.38,-0.40%,1632232
114,"CPT",11042.58,108.48,105.47,1.14%,-1.06%,99.00%,-0.38%,1.63%,1.90,903.95,104.56,1.03%,342073
115,"CRL",10018.23,50.91,50.37,0.10%,-42.58%,98.61%,3.40%,2.59%,2.25,578.78,196.59,0.43%,508814
116,"CRM",195309.24,984.00,967.51,0.10%,-26.82%,79.50%,-0.92%,1.11%,1.21,8898.74,192.55,-1.41%,6302822
117,"CSCO",212245.50,4103.00,4092.14,0.10%,-7.51%,74.90%,-0.07%,1.01%,2.26,18282.83,51.27,-1.06%,14746425
118,"CSGP",27558.65,404.19,402.42,0.80%,-1.47%,99.41%,4.31%,1.23%,2.25,2201.80,68.36,0.90%,2071037
119,"CSX",60413.75,2076.00,2045.70,0.29%,0.00%,76.00%,-2.25%,0.92%,1.36,13921.50,30.02,2.49%,18372697
120,"CTAS",45927.39,101.64,86.25,0.50%,-3.52%,66.40%,0.61%,1.43%,3.50,352.51,451.73,-0.00%,238854
121,"CTLT",11097.36,181.00,179.31,0.50%,-0.56%,,-7.58%,3.71%,2.88,2310.40,64.95,5.40%,1854502
122,"CTRA",19521.54,781.00,760.56,0.10%,-3.19%,97.40%,0.60%,4.88%,3.93,9433.35,24.94,-1.85%,5165609
123,"CTSH",30893.95,512.00,507.88,0.10%,-0.64%,93.50%,-0.42%,1.21%,1.31,4698.57,60.42,-0.40%,3211884
124,"CTVA",43269.49,714.80,711.24,0.19%,3.01%,83.30%,-0.08%,0.84%,1.67,3591.15,59.80,-1.52%,3045861
125,"CVS",99839.73,1309.00,1278.20,0.10%,-9.65%,80.70%,0.59%,1.00%,1.38,9285.62,77.54,-0.27%,8777119
126,"CVX",323906.49,1908.43,1896.06,0.08%,-20.05%,72.00%,-0.66%,0.82%,1.72,9005.36,167.65,-1.31%,5797437
127,"CZR",9859.63,214.00,213.66,0.40%,2.96%,96.50%,-1.10%,3.21%,2.24,3054.63,45.29,-1.16%,2105450
128,"D",47951.76,833.80,832.12,0.14%,-0.56%,72.40%,1.50%,0.82%,1.41,4833.01,58.06,1.13%,3196983
129,"DAL",21455.81,641.24,639.00,0.20%,-2.53%,67.50%,-1.82%,3.08%,1.95,10107.64,33.69,0.69%,6282180
130,"DD",32248.89,477.20,453.54,0.10%,-0.18%,75.00%,0.18%,3.19%,4.51,3205.18,69.64,-1.02%,2888356
131,"DE",110773.01,297.60,295.70,0.10%,-9.74%,78.50%,-2.24%,0.90%,1.70,1569.74,369.65,-1.12%,1846780
132,"DFS",25262.07,271.00,257.47,0.50%,-2.16%,85.00%,-1.39%,1.89%,1.93,2522.29,97.02,-0.39%,1770004
133,"DG",46454.26,221.29,217.95,0.10%,0.74%,94.10%,-3.48%,2.18%,2.31,2053.03,212.44,0.20%,1094676
134,"DGX",15953.98,113.00,110.08,0.20%,-25.08%,95.00%,-1.33%,2.73%,2.51,1195.36,142.88,-0.30%,886206
135,"DHI",33443.39,344.20,302.33,0.60%,-1.76%,87.30%,0.09%,4.47%,4.51,3001.26,95.64,-1.80%,3569568
136,"DHR",180599.38,729.00,648.17,0.20%,-3.38%,81.00%,-0.22%,0.53%,1.33,2593.17,246.96,-0.30%,2042866
137,"DIS",182516.23,1825.00,1821.56,0.06%,-5.28%,65.00%,2.25%,0.98%,1.68,10625.24,99.97,0.06%,7036901
138,"DISH",4530.67,530.85,251.08,0.40%,108.88%,82.90%,-0.81%,15.99%,6.09,6594.67,8.77,2.81%,9192000
139,"DLR",26277.86,289.40,287.34,0.11%,-3.18%,98.40%,0.97%,4.79%,5.97,2308.09,90.93,0.80%,2686036
140,"DLTR",32896.11,221.10,218.28,0.10%,4.20%,,1.30%,2.92%,2.76,2311.88,149.04,0.23%,1404554
141,"DOV",19971.28,140.32,138.08,0.20%,-11.64%,94.70%,0.44%,0.97%,1.50,891.23,141.57,-0.92%,945533
142,"DOW",38684.52,709.30,702.78,0.10%,0.06%,65.60%,-4.55%,1.31%,1.76,5255.93,54.66,0.04%,5021797
143,"DPZ",11629.80,35.29,35.19,0.40%,0.81%,93.90%,-9.35%,4.22%,1.78,834.19,330.58,0.67%,717002
144,"DRI",18628.67,121.40,120.67,0.40%,-23.87%,92.00%,-1.09%,3.69%,3.46,1290.26,149.70,-2.20%,1282217
145,"DTE",23110.41,201.00,192.24,0.20%,0.00%,75.50%,1.21%,0.89%,1.37,1250.41,113.85,1.53%,1753914
146,"DUK",76170.44,770.00,769.27,0.12%,-0.40%,64.40%,0.18%,0.94%,2.31,3135.71,99.74,0.91%,2879319
147,"DVA",7498.17,90.09,87.34,0.10%,3.22%,90.70%,-2.55%,3.65%,4.83,659.86,82.47,-0.57%,324141
148,"DVN",35008.43,648.00,647.71,0.40%,1.32%,80.70%,0.46%,2.93%,1.78,10617.90,52.91,-1.16%,6233687
149,"DXC",5671.64,229.54,226.41,0.50%,-5.41%,94.40%,3.89%,3.39%,4.58,1676.33,24.74,-0.68%,1553432
150,"DXCM",43595.62,386.40,384.65,0.10%,-36.22%,98.80%,-0.35%,3.27%,5.11,2461.07,112.47,-0.31%,1834680
151,"EA",34594.23,276.00,272.61,0.20%,-10.91%,94.00%,-0.25%,1.52%,1.59,2602.52,125.16,-0.78%,1990974
152,"EBAY",23542.18,543.00,533.61,0.10%,-9.82%,90.00%,-1.04%,2.59%,2.84,4874.68,43.57,-0.64%,3629603
153,"ECL",47284.01,284.60,283.63,0.10%,-1.26%,90.80%,1.13%,0.64%,1.51,1200.82,167.04,0.57%,1102448
154,"ED",34127.83,354.80,345.92,0.10%,0.52%,68.20%,0.87%,2.72%,5.00,1879.17,98.97,0.47%,1578578
155,"EFX",24570.89,122.70,121.93,0.10%,-24.42%,96.90%,0.32%,3.42%,5.23,797.27,196.41,-1.50%,791730
156,"EIX",27648.99,382.63,382.22,0.10%,-5.79%,90.40%,0.70%,2.23%,4.07,2094.58,72.56,0.42%,1349796
157,"EL",85529.08,357.70,230.07,0.20%,-4.51%,91.30%,-0.57%,1.10%,1.78,1427.80,241.26,0.76%,1171472
158,"ELV",115000.32,238.50,236.46,0.10%,-6.82%,92.80%,0.08%,0.88%,1.83,1136.03,483.54,-0.24%,815898
159,"EMN",9757.73,119.30,118.11,0.69%,-0.23%,87.80%,-2.96%,1.63%,1.85,1041.81,80.93,-1.18%,948261
160,"EMR",47477.67,583.60,565.69,0.20%,-8.31%,76.10%,-0.28%,1.13%,1.77,3605.91,83.30,0.25%,2964922
161,"ENPH",26323.62,136.23,132.66,1.20%,-11.42%,81.20%,8.18%,4.17%,1.29,4268.54,191.00,-1.38%,2898503
162,"EOG",70744.63,587.72,585.05,0.30%,-0.04%,89.00%,-0.43%,1.17%,1.72,4002.12,119.37,-0.83%,2842728
163,"EPAM",16295.06,57.58,55.71,2.20%,-0.08%,96.60%,3.00%,1.36%,1.68,449.79,286.28,1.33%,363341
164,"EQIX",65305.14,92.57,92.25,0.10%,-37.95%,96.50%,0.72%,1.62%,3.71,403.10,711.23,1.05%,272740
165,"EQR",22568.74,377.71,371.23,1.72%,-1.28%,93.10%,-0.47%,1.70%,2.74,2299.82,60.14,0.89%,1054552
166,"EQT",11747.57,366.27,358.63,0.20%,-22.09%,99.20%,1.75%,4.92%,2.53,6966.46,32.12,-1.47%,5491046
